geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,subgroep,sample,sd,uitkomst_NL
Amsterdam,Totaal,Totaal,Totaal,0% - 10%,c00_infant_mortality,9326,1.14733004503538,21.1352511584539,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,10% - 20%,c00_infant_mortality,9325,1.19031518881401,32.1844052816704,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,20% - 30%,c00_infant_mortality,9324,0.825825825825826,42.8842536200245,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,30% - 40%,c00_infant_mortality,9324,0.793650793650794,54.9746557510001,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,40% - 50%,c00_infant_mortality,9324,0.868725868725869,67.5553577988683,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,50% - 60%,c00_infant_mortality,9324,0.697125697125697,81.9006014771455,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,60% - 70%,c00_infant_mortality,9324,0.579150579150579,98.7472024541576,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,70% - 80%,c00_infant_mortality,9324,0.514800514800515,119.861075897514,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,80% - 90%,c00_infant_mortality,9324,0.471900471900472,151.217805032395,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Totaal,90% - 100%,c00_infant_mortality,9324,0.493350493350493,265.325820825063,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,0% - 10%,c00_infant_mortality,7606,1.3016039968446,24.8035741804795,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,10% - 20%,c00_infant_mortality,7605,0.736361130218772,38.7914800281137,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,20% - 30%,c00_infant_mortality,7604,0.762756443976854,52.0588028698525,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,30% - 40%,c00_infant_mortality,7604,0.854813256180957,64.4574551631431,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,40% - 50%,c00_infant_mortality,7604,0.710152551288795,77.6454194081751,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,50% - 60%,c00_infant_mortality,7604,0.512887953708574,92.0638251683579,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,60% - 70%,c00_infant_mortality,7604,0.591793792740663,108.64565375288,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,70% - 80%,c00_infant_mortality,7604,0.407680168332457,129.586025469841,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,80% - 90%,c00_infant_mortality,7604,0.47343503419253,161.303668669728,Totaal,10,NA,NA,NA,Zuigelingensterfte
Amsterdam,Totaal,Totaal,Tweeoudergezin,90% - 100%,c00_infant_mortality,7604,0.486586007364545,279.34762845811,Totaal,10,NA,NA,NA,Zuigelingensterfte
