geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,subgroep,sample,sd,uitkomst_NL
Almere,Totaal,Totaal,Totaal,0% - 10%,c00_preterm_birth,2124,9.46327683615819,22.0082602931469,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,10% - 20%,c00_preterm_birth,2124,8.75706214689266,34.3850127538529,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,20% - 30%,c00_preterm_birth,2124,7.95668549905838,46.055534075881,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,30% - 40%,c00_preterm_birth,2124,7.43879472693032,57.0513561214943,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,40% - 50%,c00_preterm_birth,2124,6.26177024482109,66.4626549615261,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,50% - 60%,c00_preterm_birth,2124,7.53295668549906,75.3813939755272,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,60% - 70%,c00_preterm_birth,2124,7.10922787193974,84.8324839529854,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,70% - 80%,c00_preterm_birth,2124,8.52165725047081,96.0916370965267,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,80% - 90%,c00_preterm_birth,2124,7.95668549905838,111.919631264414,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Totaal,90% - 100%,c00_preterm_birth,2123,7.48969188361191,159.340158866643,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Eenoudergezin,0% - 10%,c00_preterm_birth,338,12.1301775147929,15.1372211000588,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Eenoudergezin,10% - 20%,c00_preterm_birth,338,7.39644970414201,23.2760027759109,Totaal,10,NA,NA,NA,Vroeggeboorte
Almere,Totaal,Totaal,Eenoudergezin,20% - 30%,c00_preterm_birth,338,11.5384615384615,26.72426977497,Totaal,10,NA,NA,NA,Vroeggeboorte
