geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL,subgroep,sample,sd
Almere,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,4272,0.561797752808989,28.2166343995392,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,4272,0.795880149812734,51.5589048966301,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,4272,0.725655430711611,70.9230813106295,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,4268,0.84348641049672,90.4464486076664,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,4268,0.445173383317713,135.514581218411,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,3568,0.476457399103139,35.4414124477012,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,3568,0.924887892376682,60.0546100995536,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,3568,0.70067264573991,76.8506542739785,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,3567,0.869085725214275,95.2245363425954,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,3564,0.39281705948372603,140.407527086827,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,2404,0.582362728785358,24.4680475261335,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,2404,0.707154742096506,42.395048863245,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,2404,0.915141430948419,61.7436021376494,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,2404,0.62396006655574,82.4977433843022,Totaal,5,Zuigelingensterfte,NA,NA,NA
Almere,Totaal,Wel migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,2400,0.458333333333333,127.297630632494,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Totaal,0% - 20%,c00_infant_mortality,18651,1.1688226169247,26.6598282200621,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Totaal,20% - 40%,c00_infant_mortality,18648,0.80973830973831,48.9294546855123,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Totaal,40% - 60%,c00_infant_mortality,18648,0.782925782925783,74.7279796380069,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Totaal,60% - 80%,c00_infant_mortality,18648,0.546975546975547,109.304139175836,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Totaal,80% - 100%,c00_infant_mortality,18648,0.482625482625483,208.271812928729,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Eenoudergezin,0% - 20%,c00_infant_mortality,3371,0.919617472943311,19.1042797072686,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Eenoudergezin,20% - 40%,c00_infant_mortality,3368,1.06888361045131,28.8594991328124,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Eenoudergezin,40% - 60%,c00_infant_mortality,3368,0.979809976247031,39.0036853150442,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Eenoudergezin,60% - 80%,c00_infant_mortality,3368,0.712589073634204,56.6078067042537,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Eenoudergezin,80% - 100%,c00_infant_mortality,3368,0.593824228028504,118.554229043044,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Tweeoudergezin,0% - 20%,c00_infant_mortality,15211,1.01898256353168,31.7975271042966,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Tweeoudergezin,20% - 40%,c00_infant_mortality,15208,0.808784850078906,58.2581290164978,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Tweeoudergezin,40% - 60%,c00_infant_mortality,15208,0.611520252498685,84.8546222882665,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Tweeoudergezin,60% - 80%,c00_infant_mortality,15208,0.49973698053656,119.11583961136,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Totaal,Tweeoudergezin,80% - 100%,c00_infant_mortality,15208,0.480010520778538,220.325648563919,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,0% - 20%,c00_infant_mortality,6800,0.823529411764706,41.4422566733018,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,20% - 40%,c00_infant_mortality,6796,0.64743967039435,76.565667564496,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,40% - 60%,c00_infant_mortality,6796,0.42672160094173,105.56647792497,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,60% - 80%,c00_infant_mortality,6796,0.515008828722778,139.96765368508,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,80% - 100%,c00_infant_mortality,6796,0.57386698057681,248.344452065934,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,0% - 20%,c00_infant_mortality,5936,0.589622641509434,49.9467835077689,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,20% - 40%,c00_infant_mortality,5936,0.57277628032345,84.6513072394456,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,40% - 60%,c00_infant_mortality,5936,0.454851752021563,112.17177665582,Totaal,5,Zuigelingensterfte,NA,NA,NA
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,60% - 80%,c00_infant_mortality,5934,0.488703509495759,146.043211305809,Totaal,5,Zuigelingensterfte,NA,NA,NA
