geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,subgroep,sample,sd,uitkomst_NL
Almere,Totaal,Totaal,Totaal,Totaal,c16_havo,12829,42.6533634733806,92.6539969737286,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Totaal,Eenoudergezin,Totaal,c16_havo,3275,32.2748091603053,76.1597367489307,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Totaal,Tweeoudergezin,Totaal,c16_havo,9462,46.5863453815261,98.8117638615801,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c16_havo,5663,45.3646477132262,107.431411918467,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c16_havo,1101,37.0572207084469,98.3222552958153,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c16_havo,4523,47.7559142162282,110.128058170583,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Turkije,Totaal,Totaal,c16_havo,331,33.5347432024169,63.155336751021,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Turkije,Eenoudergezin,Totaal,c16_havo,74,25.6756756756757,56.0599329876013,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Turkije,Tweeoudergezin,Totaal,c16_havo,255,36.078431372549,65.3945584157698,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Marokko,Totaal,Totaal,c16_havo,937,38.1003201707577,63.0538075750391,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Marokko,Eenoudergezin,Totaal,c16_havo,160,32.5,53.8922155756021,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Marokko,Tweeoudergezin,Totaal,c16_havo,773,39.4566623544631,65.1372117038653,Totaal,1,NA,NA,NA,Havo of hoger
Almere,Totaal,Suriname,Totaal,Totaal,c16_havo,2161,33.4104581212402,78.3316785568241,Totaal,1,NA,NA,NA,Havo of hoger
