geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,subgroep,sample,sd,uitkomst_NL
Almere,Totaal,Totaal,Totaal,Totaal,c21_hbo_followed,12923,48.3788593979726,93.4476852826068,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Totaal,Eenoudergezin,Totaal,c21_hbo_followed,2981,39.1479369339148,78.9362308704414,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Totaal,Tweeoudergezin,Totaal,c21_hbo_followed,9821,51.6342531310457,98.4032639306642,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c21_hbo_followed,6319,50.4193701535053,106.953334338737,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c21_hbo_followed,1093,41.7200365965233,99.091965855788,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c21_hbo_followed,5177,52.6559783658489,109.072419723095,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Turkije,Totaal,Totaal,c21_hbo_followed,312,41.9871794871795,66.265687163953,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Turkije,Eenoudergezin,Totaal,c21_hbo_followed,68,33.8235294117647,61.7303074760504,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Turkije,Tweeoudergezin,Totaal,c21_hbo_followed,240,44.5833333333333,67.8447321327424,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Marokko,Totaal,Totaal,c21_hbo_followed,600,40.5,57.447388174139,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Marokko,Eenoudergezin,Totaal,c21_hbo_followed,119,29.4117647058824,57.1248125742986,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Marokko,Tweeoudergezin,Totaal,c21_hbo_followed,475,43.3684210526316,57.6144752424868,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Suriname,Totaal,Totaal,c21_hbo_followed,1944,40.7921810699589,80.1398865498733,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Suriname,Eenoudergezin,Totaal,c21_hbo_followed,723,33.3333333333333,66.8378044249345,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Suriname,Tweeoudergezin,Totaal,c21_hbo_followed,1201,45.6286427976686,88.7174194056939,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Nederlandse Antillen,Totaal,Totaal,c21_hbo_followed,363,34.435261707989,71.0446681699847,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Nederlandse Antillen,Eenoudergezin,Totaal,c21_hbo_followed,155,28.3870967741935,52.7144523013317,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Nederlandse Antillen,Tweeoudergezin,Totaal,c21_hbo_followed,200,39.5,86.9248899051624,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Overig,Totaal,Totaal,c21_hbo_followed,3385,52.4076809453471,87.1674552207834,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Overig,Eenoudergezin,Totaal,c21_hbo_followed,823,44.7144592952612,72.310327137014,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Overig,Tweeoudergezin,Totaal,c21_hbo_followed,2528,55.5775316455696,92.6290854498744,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Wel migratieachtergrond,Totaal,Totaal,c21_hbo_followed,6604,46.4264082374319,80.5248814689047,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Wel migratieachtergrond,Eenoudergezin,Totaal,c21_hbo_followed,1888,37.6588983050847,67.2676830214034,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Totaal,Wel migratieachtergrond,Tweeoudergezin,Totaal,c21_hbo_followed,4644,50.495262704565,86.5095904729958,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Totaal,Totaal,Totaal,c21_hbo_followed,6692,43.4847579199044,94.4533132103516,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Totaal,Eenoudergezin,Totaal,c21_hbo_followed,1531,34.2913128674069,81.0790078120035,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Totaal,Tweeoudergezin,Totaal,c21_hbo_followed,5104,46.6105015673981,98.9117621372225,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Zonder migratieachtergrond,Totaal,Totaal,c21_hbo_followed,3351,46.1653237839451,107.593417142545,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Zonder migratieachtergrond,Eenoudergezin,Totaal,c21_hbo_followed,566,40.2826855123675,102.950080810183,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c21_hbo_followed,2758,47.7519941986947,108.947288131861,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Turkije,Totaal,Totaal,c21_hbo_followed,138,31.8840579710145,67.4433064801147,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Turkije,Tweeoudergezin,Totaal,c21_hbo_followed,103,33.9805825242718,67.9860163423026,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Marokko,Totaal,Totaal,c21_hbo_followed,320,36.5625,59.0055414846437,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Marokko,Eenoudergezin,Totaal,c21_hbo_followed,63,28.5714285714286,58.5593609668684,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Marokko,Tweeoudergezin,Totaal,c21_hbo_followed,253,38.7351778656126,59.2658435020439,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Suriname,Totaal,Totaal,c21_hbo_followed,950,32.9473684210526,81.1088590625442,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Suriname,Eenoudergezin,Totaal,c21_hbo_followed,358,23.463687150838,68.4375568164484,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Suriname,Tweeoudergezin,Totaal,c21_hbo_followed,583,39.1080617495712,89.5602191499493,Totaal,1,NA,NA,NA,Hbo of hoger
Almere,Mannen,Nederlandse Antillen,Totaal,Totaal,c21_hbo_followed,178,24.7191011235955,65.5376339422593,Totaal,1,NA,NA,NA,Hbo of hoger
