geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,subgroep,sample,sd,uitkomst_NL
Amsterdam,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,34466,6.00301746648871,133175.566230246,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,16745,6.38996715437444,93756.7766383721,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Totaal,Totaal,c00_preterm_birth,41460,8.01495417269658,60834.1055937026,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,3087,7.15905409782961,86246.6320104196,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,2472,6.14886731391586,62206.7526435133,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Eenoudergezin,Totaal,c00_preterm_birth,11176,9.49355762347888,40959.8626740238,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,31342,5.88986025141982,137805.580338315,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,14251,6.42060206301312,99239.4753360323,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Totaal,Tweeoudergezin,Totaal,c00_preterm_birth,30032,7.44206180074587,68371.2146351859,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,17986,6.14366729678639,143748.270227666,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,6187,5.7378374010021,104663.866302355,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Totaal,Totaal,c00_preterm_birth,4721,9.15060368565982,76427.4005156243,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,1400,7.21428571428571,98632.9034302568,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,830,5.66265060240964,72825.9634854028,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Eenoudergezin,Totaal,c00_preterm_birth,1259,9.21366163621922,46605.0123908386,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,16574,6.05164715819959,147567.939141975,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,5346,5.70520014964459,109585.482783324,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Zonder migratieachtergrond,Tweeoudergezin,Totaal,c00_preterm_birth,3436,9.0221187427241,87453.0541462368,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Totaal,Totaal,c00_preterm_birth,654,5.35168195718654,110321.709945504,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Totaal,Totaal,c00_preterm_birth,824,5.46116504854369,71105.8059016359,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Totaal,Totaal,c00_preterm_birth,4702,7.74138664398128,53511.1355337088,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Tweeoudergezin,Totaal,c00_preterm_birth,591,5.24534686971235,115055.857319056,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Tweeoudergezin,Totaal,c00_preterm_birth,769,5.59167750325098,72327.3036708846,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Turkije,Tweeoudergezin,Totaal,c00_preterm_birth,4232,7.63232514177694,55434.7470426087,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Totaal,Totaal,c00_preterm_birth,1147,6.36442894507411,86043.3633770305,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Totaal,Totaal,c00_preterm_birth,1930,5.75129533678756,77017.032533115,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Totaal,Totaal,c00_preterm_birth,9988,6.71806167400881,53344.5209896599,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Tweeoudergezin,Totaal,c00_preterm_birth,1021,6.36630754162586,89103.450625421,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Tweeoudergezin,Totaal,c00_preterm_birth,1698,6.00706713780919,80271.9692282068,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Marokko,Tweeoudergezin,Totaal,c00_preterm_birth,8555,6.47574517825833,55740.9264615931,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Totaal,Totaal,c00_preterm_birth,1069,7.76426566884939,107545.854042447,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Totaal,Totaal,c00_preterm_birth,1459,9.73269362577108,79296.2946931144,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Totaal,Totaal,c00_preterm_birth,6548,10.3390348197923,50654.9047844139,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Eenoudergezin,Totaal,c00_preterm_birth,212,8.49056603773585,72886.8559843842,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Eenoudergezin,Totaal,c00_preterm_birth,435,8.50574712643678,58237.7204825635,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Eenoudergezin,Totaal,c00_preterm_birth,3821,10.4161214341795,40787.6949675642,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Tweeoudergezin,Totaal,c00_preterm_birth,856,7.59345794392523,116234.304747462,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Tweeoudergezin,Totaal,c00_preterm_birth,1021,10.2840352595495,88356.9173996205,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Suriname,Tweeoudergezin,Totaal,c00_preterm_birth,2648,10.1208459214502,65442.9989226331,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Totaal,Totaal,c00_preterm_birth,562,6.76156583629893,132254.865517217,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Totaal,Totaal,c00_preterm_birth,360,8.33333333333333,91881.1741446962,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Totaal,Totaal,c00_preterm_birth,1050,10.7619047619048,49654.6754971976,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Tweeoudergezin,Totaal,c00_preterm_birth,490,6.53061224489796,142162.565449545,wo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Tweeoudergezin,Totaal,c00_preterm_birth,276,8.33333333333333,103275.262899545,hbo,parents_edu,NA,NA,NA,Vroeggeboorte
Amsterdam,Totaal,Nederlandse Antillen,Tweeoudergezin,Totaal,c00_preterm_birth,434,9.21658986175115,63226.5346627314,geen hbo of wo,parents_edu,NA,NA,NA,Vroeggeboorte
